Cell,BestBatchIdx,STRFGain,STRFLatency,OutputAdaptation,On__ROnGSYN,Off__ROnGSYN,On__SOnOffGSYN,Off__SOnOffGSYN,SOnOff__ROnGSYN
177,8,0.0126681076362729,0.00482198782265186,0.0139871686697006,0.0200270563364029,0.0608463436365128,0.017457777634263,0.311874508857727,0.290301263332367
178,14,0.0198709443211555,0.0399999991059303,0.0112496986985207,0.0156165966764092,0.00349983177147806,0.00767703121528029,0,0.182243913412094
179,4,0.0143502773717046,9.99999974737875e-05,0.0228494517505169,0.0711676925420761,0.0981658101081848,0.474448621273041,0.156951352953911,0.233352273702621
180,11,0.000664514722302556,0.00869840104132891,0.0109487054869533,0.128447711467743,0.0564848221838474,0.145413935184479,0.175793215632439,0.169428110122681
181,8,0.00758757535368204,0.0033869999460876,0.0122118173167109,0.0674719586968422,0.0680674239993095,0.159423172473907,0.169875949621201,0.160449966788292
182,1,0.00572838168591261,0.00804690178483725,0.0118668973445892,0.0540090091526508,0.0365109480917454,0.348494946956635,0.354502826929092,0.178106501698494
183,3,0.00575756281614304,0.0126731414347887,0.0120013365522027,0.0150504121556878,0.00364875257946551,0.268242508172989,0.00683296285569668,0.171520605683327
184,9,0.00573025783523917,0.00499155558645725,0.00921326875686646,0.0827229842543602,0.0493792742490768,0.271502166986465,0.227481350302696,0.257883697748184
185,7,0.0174454301595688,0.0188065879046917,0.0076411459594965,0.0132730407640338,0.0140379713848233,0.188230246305466,0.140940681099892,0.195874840021133
186,14,0.0217151008546352,0.0059728748165071,0.00390532240271568,0.053072489798069,0.0256171450018883,0.264206945896149,0.00766869867220521,0.249765023589134
187,7,0.0283380374312401,0.00146758835762739,0.0126655315980315,0.0534733571112156,0.00020122884598095,0.613416373729706,0.000125158330774866,0.0593798272311687
188,8,0.0479480996727943,0.000950324523728341,0.0126818185672164,0.0391988642513752,0.0518473908305168,0.000313159835059196,0.249344035983086,0.109251789748669
189,2,0.000113666814286262,0.000331726187141612,0,0.149700954556465,0.158349022269249,0.0531080961227417,0.0713578835129738,0.0989328473806381
190,8,0.0129268672317266,0.0130984075367451,0.0102901393547654,0.051863145083189,0.0455697663128376,0.28493070602417,0.147709384560585,0.14889532327652
191,8,0.00609070574864745,0.00568504631519318,0.00734231807291508,0.0713677182793617,0.051034964621067,0.200458258390427,0.131570413708687,0.205093204975128
